,Player1_healthy,biased_A,biased_B,biased_C,biased_D,Type1_depressed,Type2_depressed,Type1_social_phobia,Type2_social_phobia
0,30.0,25.0,34.5,20.0,30.0,31.0,31.5,20.0,20.0
1,32.0,28.5,26.0,20.0,27.0,27.5,32.5,20.0,20.0
2,28.5,27.0,30.0,20.0,36.0,32.0,26.5,20.0,20.0
3,28.5,30.0,25.0,20.0,28.5,34.5,33.0,20.0,20.0
4,30.0,31.5,34.5,20.0,27.0,30.5,31.5,20.0,20.0
5,29.0,24.5,36.0,20.0,28.5,32.0,38.5,20.0,20.0
6,34.5,31.5,31.5,20.0,36.0,34.5,35.5,20.0,20.0
7,39.0,34.5,34.5,20.0,28.5,32.5,31.5,20.0,20.0
8,30.0,30.0,33.0,20.0,37.5,38.0,29.0,20.0,20.0
9,31.5,28.5,29.5,20.0,32.5,33.0,31.0,20.0,20.0
10,27.0,31.5,28.5,20.0,30.0,34.5,30.5,20.0,20.0
11,28.5,33.0,34.5,20.0,27.0,29.5,31.0,20.0,20.0
12,30.0,24.5,34.5,20.0,33.0,18.5,33.5,20.0,20.0
13,31.5,30.0,26.0,20.0,31.5,34.5,27.0,20.0,20.0
14,28.5,28.5,29.0,20.0,27.0,32.5,33.0,20.0,20.0
15,28.5,30.0,34.5,20.0,39.0,36.0,26.5,20.0,20.0
16,31.5,24.5,27.0,20.0,22.0,32.5,27.5,20.0,20.0
17,32.5,33.0,30.0,20.0,27.0,31.0,29.0,20.0,20.0
18,28.5,30.0,34.5,20.0,28.5,36.5,30.5,20.0,20.0
19,34.5,42.0,36.0,20.0,28.5,31.0,30.0,20.0,20.0
